,Sales Year,Make,Category,IsDevelopment,Total VIO,vehicleMaxQty,PartsAuthority,SSF,Worldpac,PartsAuthority Sales count,SSF Sales count,WorldPac Sales count,UnitsSold360 Sales count,Total Units Sold Sales count,SalesYearRank
Sales Year,1.0,0.04,0.02,0.17,0.07,0.01,0.09,0.0,0.01,-0.01,0.02,0.08,0.28,-0.09,0.06
Make,0.04,1.0,0.02,0.12,0.03,0.08,0.08,0.11,0.03,-0.06,0.12,-0.02,0.03,0.03,-0.19
Category,0.02,0.02,1.0,0.09,0.07,0.29,0.1,-0.05,0.11,-0.07,-0.06,-0.15,0.01,0.02,-0.13
IsDevelopment,0.17,0.12,0.09,1.0,0.19,0.09,0.12,0.17,-0.08,-0.13,0.14,0.05,0.09,-0.04,-0.35
Total VIO,0.07,0.03,0.07,0.19,1.0,0.01,0.03,0.07,-0.04,-0.02,0.04,-0.01,0.05,0.06,-0.25
vehicleMaxQty,0.01,0.08,0.29,0.09,0.01,1.0,0.06,-0.04,0.04,-0.02,-0.02,-0.02,0.01,0.12,-0.11
PartsAuthority,0.09,0.08,0.1,0.12,0.03,0.06,1.0,-0.21,0.2,-0.7,-0.21,-0.3,0.03,-0.3,-0.11
SSF,0.0,0.11,-0.05,0.17,0.07,-0.04,-0.21,1.0,-0.26,0.19,0.84,0.28,0.02,0.21,-0.09
Worldpac,0.01,0.03,0.11,-0.08,-0.04,0.04,0.2,-0.26,1.0,-0.15,-0.25,-0.49,-0.01,-0.17,0.06
PartsAuthority Sales count,-0.01,-0.06,-0.07,-0.13,-0.02,-0.02,-0.7,0.19,-0.15,1.0,0.27,0.36,-0.02,0.43,0.13
SSF Sales count,0.02,0.12,-0.06,0.14,0.04,-0.02,-0.21,0.84,-0.25,0.27,1.0,0.37,0.01,0.31,-0.09
WorldPac Sales count,0.08,-0.02,-0.15,0.05,-0.01,-0.02,-0.3,0.28,-0.49,0.36,0.37,1.0,0.07,0.34,0.03
UnitsSold360 Sales count,0.28,0.03,0.01,0.09,0.05,0.01,0.03,0.02,-0.01,-0.02,0.01,0.07,1.0,-0.01,0.06
Total Units Sold Sales count,-0.09,0.03,0.02,-0.04,0.06,0.12,-0.3,0.21,-0.17,0.43,0.31,0.34,-0.01,1.0,-0.03
SalesYearRank,0.06,-0.19,-0.13,-0.35,-0.25,-0.11,-0.11,-0.09,0.06,0.13,-0.09,0.03,0.06,-0.03,1.0
