ActualSales,ForecastDiff,TotalParts,NoOfPartsWithDiffs,Volume Coverage %
1 to 500,-100 to 100,3600,461,12.81
1 to 500,-250 to 250,3600,366,10.17
1 to 500,-50 to 50,3600,2647,73.53
1 to 500,< -250 & > 250,3600,126,3.5
1500 to 3000,-100 to 100,54,8,14.81
1500 to 3000,-250 to 250,54,14,25.93
1500 to 3000,-50 to 50,54,7,12.96
1500 to 3000,< -250 & > 250,54,25,46.3
3000 to 5000,-100 to 100,14,4,28.57
3000 to 5000,-50 to 50,14,3,21.43
3000 to 5000,< -250 & > 250,14,7,50.0
500 to 1500,-100 to 100,151,3,1.99
500 to 1500,-250 to 250,151,19,12.58
500 to 1500,-50 to 50,151,20,13.25
500 to 1500,< -250 & > 250,151,109,72.19
> 5000,-100 to 100,8,4,50.0
> 5000,-250 to 250,8,3,37.5
> 5000,-50 to 50,8,1,12.5
